"","Malignant","B cell","Dendritic","Endothelial","Fibroblast","Macrophage","Mast","T cell"
"C3N-01946",0.460656407120239,0.0735433133086223,0.0407791498249209,0.15969749272389,0.0930066333326819,0.0903401740031275,0.00608455017581279,0.0758922795107069
"C3N-03783",0.488276483583123,0.0116577022495177,0.0618922380290215,0.235122635187305,0.114551710620766,0.00796247135458256,0.000879209156407296,0.0796575498192778
"C3N-03849",0.674835111920392,0.00228819637763335,0.0134081243833756,0.138259401530223,0.139824376528808,0.0229147713172859,0.000717905901821974,0.00775211204045943
"C3N-04276",0.404760670392906,7.84557068644989e-08,0.0292460984944851,0.261665839415949,0.287905246121162,0.00498239643737417,3.30597895329662e-07,0.0114393400845222
"C3L-00995",0.867158985137572,9.02946216899105e-05,0.0108349864837466,0.0183685470341087,0.091271577200189,0.00367163631131424,0.00371077160469307,0.00489320160668638
"C3N-02727",0.45048047793669,0.0410960334481874,0.0229373572768462,0.19612022526688,0.195597941670037,0.0770256756632891,0.000991039699300332,0.0157512490387697
"C3N-01752",0.704781010610615,4.48555312862021e-08,0.00257779778475184,0.085821897462083,0.202585217930669,0.00362818848422167,0.000605373202664992,4.6966946306326e-07
"C3N-01754",0.668150902718585,0.00762739997023246,0.00446098874055662,0.099829104813805,0.208250974315028,0.0112870147301302,0.00039078720212948,2.8275095339041e-06
"C3N-02694",0.340451881956598,0.0132301984997735,0.0612440682851028,0.2565728464559,0.23810913659886,0.00827830492143963,0.000351105596547934,0.0817624576857783
"C3N-03781",0.424691453913969,4.22332423099654e-07,0.0114754053849897,0.127728123126632,0.404507956005238,0.0277198562097079,0.000438675423632211,0.00343810760340852
"C3N-02695",0.790678836516557,0.00323662393788923,0.0115545201458047,0.107457837809707,0.053177307321244,0.0238179289515562,0.00688912527942647,0.00318782003781579
