gene,xcorr,resolvability
APOL6,0.594587898680142,0.40541210131985805
APOLD1,0.40367635286280085,0.5963236471371991
APOO,0.43613545490162714,0.5638645450983728
APOOL,0.4230822103896311,0.5769177896103689
APP,0.3613573906810156,0.6386426093189844
APPBP2,0.3650673446910722,0.6349326553089278
APPL1,0.40195473017437117,0.5980452698256289
APPL2,0.3889210410416126,0.6110789589583874
APRT,0.36638451207961353,0.6336154879203865
APTR,0.508074663579464,0.49192533642053604
APTX,0.39439959744257586,0.6056004025574242
AQP3,0.6484434615288462,0.35155653847115376
AQR,0.38051935232111384,0.6194806476788861
ARAF,0.3471079132120524,0.6528920867879475
ARAP1,0.33387941647587077,0.6661205835241293
ARAP2,0.4589277553771223,0.5410722446228777
ARCN1,0.35020964040554,0.6497903595944601
AREG,0.6198001381542001,0.3801998618457999
AREL1,0.33431491787944523,0.6656850821205548
ARF1,0.3241016438031303,0.6758983561968697
ARF3,0.3249479186322008,0.6750520813677992
ARF4,0.28831277202282635,0.7116872279771737
ARF5,0.2760893244828497,0.7239106755171503
ARF6,0.316042159018772,0.683957840981228
ARFGAP1,0.27940658925633344,0.7205934107436666
ARFGAP2,0.3147276927317892,0.6852723072682108
ARFGAP3,0.31568729165675385,0.6843127083432461
ARFGEF1,0.3511571099183389,0.6488428900816611
ARFGEF2,0.37791815639606546,0.6220818436039346
ARFIP1,0.3040542715628232,0.6959457284371768
ARFIP2,0.3312402665615082,0.6687597334384918
ARFRP1,0.35425742955080103,0.645742570449199
ARG1,0.6494584913764682,0.35054150862353184
ARG2,0.4281933046877384,0.5718066953122616
ARGLU1,0.4356233466948782,0.5643766533051218
ARHGAP1,0.29442249265100273,0.7055775073489973
ARHGAP10,0.34616266936063766,0.6538373306393623
ARHGAP11A,0.48128679181848255,0.5187132081815174
ARHGAP11B,0.6244545887623515,0.3755454112376485
ARHGAP15,0.4585193597844669,0.5414806402155331
ARHGAP17,0.2593810644799045,0.7406189355200955
ARHGAP18,0.38301355365131584,0.6169864463486842
ARHGAP19,0.41713710368743967,0.5828628963125604
ARHGAP21,0.33160016213410665,0.6683998378658933
ARHGAP23,0.39263926659311565,0.6073607334068843
ARHGAP25,0.4120349631245647,0.5879650368754352
ARHGAP26,0.6020306146570614,0.3979693853429386
ARHGAP27,0.40778786981744425,0.5922121301825558
ARHGAP30,0.5367022342979908,0.4632977657020092
ARHGAP31,0.45181579515337944,0.5481842048466206
ARHGAP32,0.44874317491693155,0.5512568250830685
ARHGAP33,0.5741406838808741,0.42585931611912586
ARHGAP35,0.37519438192248344,0.6248056180775166
ARHGAP4,0.6503292779837336,0.34967072201626637
ARHGAP40,0.464389244094491,0.535610755905509
ARHGAP44,0.5493424928614071,0.45065750713859287
ARHGAP45,0.46698507932679995,0.5330149206732
ARHGAP5,0.4927841355758054,0.5072158644241946
ARHGAP8,0.3697286725842527,0.6302713274157473
ARHGAP9,0.6144399621656963,0.3855600378343037
ARHGDIA,0.3223051478021911,0.6776948521978089
ARHGDIB,0.4783411904105118,0.5216588095894882
ARHGEF1,0.319924975878426,0.6800750241215741
ARHGEF11,0.4372084718197584,0.5627915281802416
ARHGEF12,0.36359608199979576,0.6364039180002042
ARHGEF17,0.3259447538626513,0.6740552461373487
