,0
ICAM1,0.5639147162058271
NMNAT3,0.5638075088203094
FAM114A1,0.5637829325346414
BDH1,0.5635638821897296
TRAK2,0.5635203909855842
CEP112,0.5632132569349212
ITGB2-AS1,0.5630029073813085
CD180,0.5629532563769202
RAI14,0.562563544886132
NOD1,0.5622291445919594
ISG20,0.5619175027061761
TENM3,0.5617333515540824
SAMD9L,0.5614443108433746
BTLA,0.5613582993725649
ABI3,0.5608700497290106
SLC41A1,0.560815124200608
STK4,0.5602066217139081
JAKMIP1,0.5598393855197574
SLA2,0.5592044482510786
RGS18,0.5590398055961842
SLC41A2,0.5590281234016763
PKD2,0.5589997152215773
CYBRD1,0.5584483130548977
SDR9C7,0.5579912986521272
TNS3,0.557833839825944
ZEB1,0.5578298977064193
FNDC3A,0.5577767649506673
FLT3,0.5576871733970932
IGHV3-64D,0.557364229286755
MAP4,0.5570904260324382
EPGN,0.5568161834522589
ZNF521,0.5562847894813877
GNG11,0.556258287297368
LYN,0.5562255019435862
SLC12A7,0.555810631133859
BHLHA15,0.5555783294954353
MAP3K21,0.5555054728946824
FUT8,0.5553039841134285
HERPUD1,0.554995349481327
PDZRN3,0.554873929464296
STOM,0.5543991253176034
MFAP2,0.5543648579165379
ZNF160,0.5541863003898417
FMOD,0.553810555138084
PDCD1LG2,0.5535776677245475
FUT7,0.5534549532854041
CCL24,0.553364330679839
RUNX3,0.5531997538607792
CD52,0.5527858334032563
GNAQ,0.5527155831803496
CIT,0.552636130554437
KAT2B,0.5524996917375584
RASSF2,0.5524133961148602
PEA15,0.55229798493537
GMFG,0.5522528168069124
GALNT15,0.5515789147645753
IGLV6-57,0.551468117705284
SLC2A10,0.5514337666888764
IGSF9,0.5512925465778007
TIMP1,0.5512772774701904
PMP22,0.5510950586996519
FASLG,0.5510440958195831
FCHSD2,0.5507186294648501
KLHL6,0.5505714855781303
CCL17,0.5504187075768037
PREX1,0.5502067708979071
IGHV1-69D,0.5501561093529281
CD200,0.5499020946663421
CSF1,0.5492703465565811
UGT8,0.5490088626371074
COL16A1,0.5484447613895277
ARSI,0.5476806590531593
TRIO,0.547267452980556
TMEM204,0.5471233444121584
TPSAB1,0.5469627806378471
LOXL2,0.5468914409103335
LAMP5,0.5468824030717513
MMP13,0.5467053979044644
CSGALNACT2,0.5466767691321525
ACSL5,0.5466095372914143
PILRA,0.546547418280151
GZMA,0.5463546392758076
SH3PXD2B,0.54604990768828
PXDN,0.5459554744870563
ENO2,0.5459367228180262
LEPROT,0.5459264625728226
CTSW,0.54573932737041
ATP8B4,0.5452304775957372
PARP15,0.5449937753833927
G0S2,0.5443266326783963
TRGV3,0.5443000298516539
LINC02820,0.5438218743332405
IL4I1,0.5437714977815713
UBASH3A,0.543674757970562
SIX4,0.5435725644757068
FTL,0.5434385797893393
LINC02362,0.5433205873649412
GPC6,0.5429200962495097
PCLO,0.5428331485807314
IGHV5-51,0.5426480049564545
HEXB,0.5425693016218242
WNK2,0.5425178575434066
CDH5,0.5425003176521811
DENND5A,0.541993829902602
AQP9,0.5417798409556711
SCARB2,0.5417360269937892
ARRB2,0.5415880339102661
BEX2,0.5413701637294908
GRAP2,0.5412690442241324
IGHV1-69,0.5411022263175955
IGLV1-47,0.5409850293841055
LTB,0.540730176416026
PLEKHO1,0.540297069648523
SMAP2,0.5402237040818532
SNX25,0.5401828223081183
ARFGEF3,0.5401641951293227
SLC29A2,0.5401452305849359
DRAM1,0.5400856850807809
TRPV3,0.5399134135904127
ZSCAN18,0.5396803347037717
PIP4K2A,0.5396737677627004
FCRL3,0.5393494444211169
ADORA3,0.539033355433491
DENND2C,0.5389364938253276
EPHA3,0.538864659250407
TRGV8,0.5385808558012278
IGFBP4,0.5385760972634
TRO,0.5385355309453111
TAMALIN,0.5383789944187144
HSD17B11,0.5380098985110345
CYFIP2,0.5374626204292143
NNMT,0.5374236648690227
PLXND1,0.5372224735914931
LXN,0.5365359042637313
HPCAL1,0.5365082519695843
TBC1D9,0.5363981342019941
EVL,0.5363711339001641
WWTR1,0.5359580146371337
MAP4K1,0.5359273740640232
CHST15,0.5358169159452996
CD99L2,0.5357740793561813
ZNF790,0.5356632910280741
LINC02446,0.5354109467250516
BMP1,0.5353323238722265
SLC39A8,0.5352691217176843
FGD5,0.5352038918510471
FILIP1L,0.5351207738828739
POGLUT2,0.5346283877494475
ARHGEF7,0.5342364531985606
USP2,0.5340354936479805
SALL4,0.5337527400002339
CBLB,0.5337427116094952
SRPX,0.5337309744287112
CHRM3,0.5333982546018264
CLIC2,0.5332237072686482
JAK1,0.5330147108106384
IDO1,0.5327462050797327
HNF4G,0.5326890155100171
PTGER4,0.5326375014727066
FAM20C,0.5324411544285174
SLC30A7,0.5324196024091056
HTRA1,0.5317426150463619
GNAI2,0.5316224536698921
INPP5D,0.5315898424617516
DOCK4,0.5313711801089507
ARHGAP31,0.531340795542166
A2M,0.5310540853982012
SECTM1,0.5308727265313632
ARHGAP30,0.5308428339374999
SAMD12,0.5307143521600665
DGKD,0.5306734164023769
SLC45A4,0.5303113205433784
DLX6,0.5301680837326939
LNPEP,0.530073786650561
CCDC69,0.5299375817085015
PASK,0.5296442268936615
SLC6A11,0.5290549611464401
TRBV24-1,0.529014947543971
TRAV12-2,0.5288961265421163
SLC66A3,0.5288451122754367
KLF10,0.5286541632306679
CD27,0.5284243667275021
GAREM2,0.5281804802849166
SIRPA,0.5280597632077266
SPAG4,0.5277619732701747
FAXC,0.5276243069645413
ITGB7,0.526774686653481
ARMC9,0.5265761356821058
ANKRD36,0.5259830563299165
DYNC1I1,0.5259343240638944
SMURF2,0.5259135712317964
NUMB,0.525796978488515
HDX,0.5257482698864107
VEGFC,0.5255931787119523
SPN,0.5247133273141892
RHOU,0.5247098000774024
SDC2,0.524641160848196
MELTF-AS1,0.5245742891791396
AMN,0.5244649556508645
KCNMB2,0.5241108067540095
SIGLEC8,0.5240945056775105
CXCR3,0.524088627746688
ZNF671,0.5239167966731075
ACAP1,0.5237917123291113
FCGRT,0.5237825822657196
MPZL2,0.5237402723937276
MARCHF1,0.5236407491209168
PNCK,0.5236038504321506
CFH,0.5234814754719012
SLC2A3,0.5233138406251309
S100A12,0.5232152801909215
GALM,0.523170487668933
HNMT,0.5231041404603721
ANKRD44-IT1,0.5230117795249981
ANXA5,0.5229563263930076
SLC5A12,0.5227720256974785
MYL2,0.5226051880577017
GCC2,0.5225706996757158
CEP68,0.5222712132441533
PTPN7,0.5218361863054618
APOL3,0.5218267750007703
AKAP13,0.5215247898874406
ZBTB18,0.521396281488246
ICAM3,0.5212233996770155
IL1R1,0.5208293792216353
IFIT2,0.5207839049098716
EDEM1,0.520757939511153
CPD,0.5206946878618365
NSG1,0.5203955083260458
PLXDC2,0.5202621242956016
IL26,0.5197354515239986
STX2,0.5191989641652336
PSMB8-AS1,0.5188488641257789
POU6F2-AS2,0.5188428687711193
CCN4,0.5187457942821632
ZNF711,0.5185686003793151
RNF130,0.518282731072194
APOBEC3G,0.5181574929867595
FADS2,0.518096250750052
ANKRD50,0.5179561920251782
DPYD,0.5179034195620777
KCNMB2-AS1,0.5177845279996917
ADAM8,0.5174728663541687
CLEC11A,0.5173865812648969
P3H1,0.5172857776152986
KLRD1,0.5172673096993079
SLC8A1,0.5172278396774675
IGKV1-17,0.5171979133965824
TPM2,0.5169224907499489
ADGRF5,0.5168722516830426
KRBOX4,0.5166196617562557
MMRN2,0.5164327486552827
MEF2C-AS2,0.5161526440514471
MMP9,0.5161447636073905
VPS13C,0.5161286542333896
RAC2,0.5160249773484442
HLA-DQB2,0.5160078743243636
ISYNA1,0.5159304281100338
IGKV2D-24,0.5157989823277598
CXCR4,0.5157489232111109
TCF4,0.5157207250380222
CHRNA1,0.5155472146545357
IGKV1D-39,0.515289211087056
CDK15,0.5152574106950324
RFLNB,0.5152036041661111
FSIP2,0.5151718061561719
NDN,0.5149601901750742
MMP12,0.514940957046666
FLVCR1,0.5146992029764436
CEMIP2,0.5145316853401558
CLEC14A,0.5144067608353503
