,Malignant,B cell,Dendritic,Endothelial,Fibroblast,Macrophage,Mast,T cell
ACBD6,0.3295949549035927,0.18126088451120861,0.12618002144708973,0.33092747348107143,0.32830450431390423,0.03380263029733107,0.13701457437801823,0.25742500279538033
ACCS,0.19863413798656163,0.22014426999579711,0.06325797369894624,0.15684934192494682,0.1790510788466738,0.06268344241260615,0.09889964799432006,0.13965371223210538
ACD,0.30245801831717484,0.20944071127288252,0.08119164911668668,0.30120896157764,0.30010332885493946,0.15761636478962768,0.10011934526802774,0.25430591968538035
ACER1,0.41267925292156626,0.3181708467907246,0.2875667981762144,0.055654707776762805,0.06695485225104696,0.1745980608688842,0.11456015895853322,0.13633285466432973
ACER3,0.21646195560583129,0.2242673071204664,0.10359998201279089,0.21739666886984627,0.213538282992659,0.177361279597758,0.0606912715394623,0.20139110138540933
ACIN1,0.1768701759275719,0.22987504986421475,0.09688759437965588,0.17722929772090792,0.17998339315912473,0.009767942384224413,0.048852063887158244,0.07428346888720545
ACKR2,0.23803159992539416,0.2569520244673396,0.4665151421727668,0.41093270261091575,0.13281973385858478,0.46561082225375755,0.1962018493527096,0.4609755441645641
ACLY,0.2384549259082579,0.22755873983852978,0.0969681128876661,0.23315264580781891,0.23481125041949158,0.1507047342846271,0.053953284550602366,0.1252674281506043
ACO1,0.2529722573485077,0.22440324838951214,0.1549060701016383,0.24591198120513297,0.24783613694266676,0.06457177852485914,0.10068405194058058,0.20878735906726184
ACO2,0.2144818866800401,0.17753713007022653,0.12225964173698524,0.20562267019104807,0.20851198081452388,0.01909060787018665,0.1458657746075601,0.23503270717397548
ACOT11,0.12619309782140642,0.22390520542504838,0.2676118580954799,0.02440085311407884,0.05103764321194807,0.14301197503317875,0.0794622510854686,0.17614987961220305
ACOT13,0.27019776968631354,0.17754152477508758,0.10078813441362862,0.2689034322072803,0.269076042823997,0.07604702118947507,0.0816593309659027,0.2536359296772239
ACOT2,0.3584433077073661,0.14087018687469138,0.08734164319108798,0.36165494155203803,0.35685240718094163,0.14511686493997034,0.04097227698535778,0.27243163153388456
ACOT4,0.25843804958792554,0.16555800715606844,0.22472035686637434,0.19579371791877676,0.1689761260256027,0.008972552830457023,0.03253211319970636,0.21712370477954773
ACOT7,0.22761971102262776,0.2660736938525433,0.11598418839777416,0.2258773963804758,0.22460726698966693,0.09590163201571135,0.11280785407590012,0.22627117499724048
ACOT8,0.26183293974146266,0.1882626735291685,0.15336265076875016,0.2589134566664642,0.2606434009488202,0.09832959989728027,0.1576961283464524,0.295534403275394
ACOT9,0.23203527902328422,0.19833671069174696,-0.030279441434571893,0.23586089245975345,0.23834616251067448,0.016025441232442744,0.05714432662081979,0.16330116697484795
ACOX1,0.21576602894648542,0.1893855787791425,0.13707990565406974,0.21430329172186263,0.21314392886902753,0.2448593535823865,0.1346861668373693,0.1888730784133371
ACOX3,0.20037046923675494,0.19339655897810845,0.1524824294004315,0.1962033363395506,0.19841249009175088,0.14783108218922045,0.016350741384311033,0.1750211135572834
ACP1,0.28099383605336514,0.23699696418947078,0.10206586442318794,0.2799370423004623,0.27793151048552883,0.19035481292530015,0.08417900911037146,0.23349334753075154
ACP2,0.26109232544367367,0.17970537257294772,0.03741587596630464,0.25357983507762566,0.2563552536525141,0.07988296243117042,0.10259999833119557,0.23741136449037478
ACP5,0.23486241247322875,0.18409515504319632,0.07948238856367525,0.2375059609702818,0.23635442045049598,0.25482649265510415,0.15457013281311796,0.1773217956523209
ACP7,0.26434126396808233,0.2466277894584758,0.30965390507410073,0.17150752591002688,0.2561437894309334,0.26608337110672703,0.16434334319072824,0.3043492070111709
ACRBP,0.29193656757345726,0.15432238946742813,0.17429249517431528,0.24936160393731063,0.36541042848218186,0.08766096239298411,0.15900456827482595,0.3265581435748394
ACSF2,0.24788894398490494,0.1865063280198306,0.08360648604359618,0.25528417706961987,0.2492644949631579,0.031002731151691786,0.12447297076991959,0.19606190086866454
ACSF3,0.23532528531047975,0.1904686037226705,0.1458171330729434,0.22969754445767962,0.23552842322317996,0.0948799838490885,0.10877030923678255,0.2115080557930649
ACSL1,0.19033871935842347,0.16591103111382038,0.035131278950743326,0.1946593525934684,0.19692671627963082,0.24790815324473206,0.08658359010727183,0.24614862221784972
ACSL3,0.24163833939624083,0.22274723635860288,0.11741320367654957,0.23680951642098327,0.2392653020153979,0.09652079043652188,0.07939675166669453,0.21384342890211733
ACSL4,0.24239067290323116,0.1864088240974304,0.1188776679948959,0.23182199061640865,0.2356248144525854,0.10043990304870981,0.046835514992302436,0.20039610114179074
ACSL5,0.07226629812507897,0.1794606386387815,0.10697685118651745,0.07875022327925969,0.05716661225881573,0.12546147260521354,0.01986705152008587,0.19744479520218877
ACSM3,0.2214821056794996,0.22469479711154192,0.06541052534227838,0.3921441150401266,0.3507598058711852,0.15586216806318712,0.10987777025081372,0.22089954588661476
